
============================================================
π/2 Hebbian Training Setup
============================================================
GPU: Tesla P40 (23.9GB)

Model: 1.57B (2304h, 24L)
π/2 Model Created
  Parameters: 1,681,224,192
  Hidden: 2304
  Layers: 24
  Heads: 18
  Weight std (expected): 0.012732
  Weight std (actual):   0.012731
  π/2 = 1.570796

Applying π/2 phase quantization...
  Magnitude params: 1,831,993,344
  Memory estimate: 7328.0 MB

Resuming from: output_model_a/checkpoints/hebbian_step_5000A.pt
  Loaded checkpoint from step 5000
  Previous avg loss: 0.0978

GPU memory used: 9.16 GB

Loading data: Training PI/Phase2(A-TalkSmart)/pi_encoded_phase2.jsonl

============================================================
Starting π/2 Hebbian Training
============================================================
Learning rate: 0.001
Steps: 5000
Rotation angles: [0.0, 1.570796, 3.141593, 4.712389]
============================================================

Step 2520/5000 | Consistency: 0.0612 | Avg: 0.0526 | Samples/s: 1
Step 2530/5000 | Consistency: 0.0702 | Avg: 0.0527 | Samples/s: 1
Step 2540/5000 | Consistency: 0.0505 | Avg: 0.0527 | Samples/s: 1
Step 2550/5000 | Consistency: 0.0596 | Avg: 0.0527 | Samples/s: 1
Step 2560/5000 | Consistency: 0.1153 | Avg: 0.0528 | Samples/s: 1
Step 2570/5000 | Consistency: 0.0324 | Avg: 0.0528 | Samples/s: 1
Step 2580/5000 | Consistency: 0.0370 | Avg: 0.0527 | Samples/s: 1
Step 2590/5000 | Consistency: 0.0692 | Avg: 0.0527 | Samples/s: 1
Step 2600/5000 | Consistency: 0.0626 | Avg: 0.0527 | Samples/s: 1
Step 2610/5000 | Consistency: 0.0442 | Avg: 0.0527 | Samples/s: 1
Step 2620/5000 | Consistency: 0.0616 | Avg: 0.0527 | Samples/s: 1
Step 2630/5000 | Consistency: 0.0430 | Avg: 0.0527 | Samples/s: 1
Step 2640/5000 | Consistency: 0.0627 | Avg: 0.0527 | Samples/s: 1
Step 2650/5000 | Consistency: 0.0382 | Avg: 0.0527 | Samples/s: 1
Step 2660/5000 | Consistency: 0.0463 | Avg: 0.0527 | Samples/s: 1
Step 2670/5000 | Consistency: 0.0505 | Avg: 0.0526 | Samples/s: 1
Step 2680/5000 | Consistency: 0.0566 | Avg: 0.0526 | Samples/s: 1
Step 2690/5000 | Consistency: 0.0634 | Avg: 0.0526 | Samples/s: 1
Step 2700/5000 | Consistency: 0.0553 | Avg: 0.0527 | Samples/s: 1
Step 2710/5000 | Consistency: 0.0563 | Avg: 0.0527 | Samples/s: 1
Step 2720/5000 | Consistency: 0.1095 | Avg: 0.0527 | Samples/s: 1
Step 2730/5000 | Consistency: 0.0405 | Avg: 0.0527 | Samples/s: 1
Step 2740/5000 | Consistency: 0.0514 | Avg: 0.0527 | Samples/s: 1
Step 2750/5000 | Consistency: 0.0905 | Avg: 0.0528 | Samples/s: 1
Step 2760/5000 | Consistency: 0.0581 | Avg: 0.0528 | Samples/s: 1
Step 2770/5000 | Consistency: 0.0441 | Avg: 0.0528 | Samples/s: 1
Step 2780/5000 | Consistency: 0.0601 | Avg: 0.0528 | Samples/s: 1
Step 2790/5000 | Consistency: 0.0837 | Avg: 0.0529 | Samples/s: 1
Step 2800/5000 | Consistency: 0.1471 | Avg: 0.0531 | Samples/s: 1
Step 2810/5000 | Consistency: 0.0770 | Avg: 0.0532 | Samples/s: 1
Step 2820/5000 | Consistency: 0.0427 | Avg: 0.0533 | Samples/s: 1
Step 2830/5000 | Consistency: 0.0462 | Avg: 0.0532 | Samples/s: 1
Step 2840/5000 | Consistency: 0.0566 | Avg: 0.0532 | Samples/s: 1
